4r1k1/pp6/8/4PQ2/1P6/8/1qP1KPPP/3R4 w - - 6 33	0.883145
rn1qkbnr/ppp1pppp/8/5b2/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 5	0.684451
8/6B1/8/1k5p/8/2K4P/8/8 w - - 0 45	0.670218
8/8/p1K5/6p1/5b1k/2B4P/8/8 w - - 8 55	0.450031
6k1/5ppp/8/8/4r3/7r/p2K4/8 w - - 2 47	0.001164
8/p6p/1p4p1/8/3K1PP1/3R4/1k5P/8 w - - 6 59	0.834518
8/8/4k3/P2p4/1p2pK2/1P6/2P5/8 w - - 1 51	0.804076
8/7p/8/5bP1/2p2p2/1k5P/2R3P1/1K1B4 w - - 2 35	0.826164
4r1k1/1p2pp1p/3pb1p1/8/4PPP1/3PN2P/r3BR2/6K1 w - - 3 21	0.216270
8/3k1N2/1p2p3/4P3/3PNPn1/6P1/PP4K1/8 w - - 0 35	0.921393
8/8/8/8/5K2/6P1/7k/8 w - - 2 57	0.821218
7k/1p4p1/7p/2p5/4p3/3r2PP/5K2/8 w - - 4 41	0.059297
rnbq1rk1/pp1p1pbp/2p1pnp1/8/8/2PPPP2/PP1BB1PP/RN1QK1NR w KQ - 0 7	0.585979
3r3r/pppk2pp/3b2n1/8/3P4/8/PPP3PP/RNB1R1K1 w - - 1 17	0.713598
5k2/5rpp/2pp4/pp6/3P1P1P/4R1P1/1P6/5K2 w - - 0 35	0.301318
8/3N1B2/8/4K3/2P3kp/4Q3/8/8 w - - 8 55	0.999613
r7/p6p/kp3p1n/8/1B3PP1/5N1P/P4K2/2RR4 w - - 0 29	0.956125
8/8/p4k2/1p3p1p/1P3PrP/8/3N4/3K4 w - - 2 39	0.145257
8/8/1p3p2/2p1kBp1/1pP1P3/1P3Pp1/1K4P1/8 w - - 2 45	0.439003
r7/1p1k4/2pp3N/1p2nPp1/4P3/1rP5/2R1K3/2R5 w - - 0 41	0.261406
2k1r3/pp3ppp/2nb1n2/2pp1b2/8/2PP1N1P/PP3PP1/RNBB1K2 w - - 1 15	0.257324
8/8/1k4p1/6P1/1PP4P/3K4/8/8 w - - 1 51	0.827467
rn2kbnr/pbppqppp/1p2p3/8/3P4/1P2PP2/P1P3PP/RNBQKBNR w KQkq - 1 5	0.634261
rnbqk2r/ppppnpbp/4p1p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 2 5	0.687481
8/5pk1/r3p1p1/1N1pP2p/5P2/6PK/8/6b1 w - - 8 51	0.083995
6k1/5ppp/NB2p3/1P4b1/b7/2P5/4KP2/8 w - - 0 33	0.602605
8/6p1/5p1p/7P/6k1/8/4K3/8 w - - 1 57	0.351976
rn1qkb1r/pbp1pppp/1p1p1n2/8/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 1 5	0.659185
8/8/p7/3b3p/6p1/P3B2k/1P3P1P/6K1 w - - 0 37	0.516176
8/2p3pp/8/p3K3/2k5/6PP/P7/8 w - - 0 37	0.453894
r1bn1b2/ppp3r1/4p1k1/3p4/4n3/8/PPP2PPP/RNB1KB1R w KQ - 0 15	0.551656
8/1r4p1/RB5p/P4k2/5P2/8/5PKP/8 w - - 1 51	0.582901
rn1q1rk1/pppbbppp/3ppn2/8/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w - - 8 7	0.659623
8/p6p/1p1k3p/8/1P1N1Pb1/6P1/P1P4P/6K1 w - - 1 27	0.770439
r2qk1nr/pppnbppp/3p4/3P4/2P2P2/5N2/PP4PP/RNBQ1RK1 w kq - 1 11	0.696535
