rn2kb1r/pbpp1p1p/1p2p2p/6q1/3PP3/P1N5/1PP1BPPP/R2QK1NR w KQkq - 2 7	0.708933
rn1qkb1r/ppp2pp1/4pnp1/3p4/3P4/4P3/PPPN1PPP/R1BQKB1R w KQkq - 0 7	0.635134
8/pp2k1p1/2p3p1/8/3PP3/2P3bP/PP1K2P1/8 w - - 1 27	0.299603
8/pp2k1p1/2p5/6p1/3PP3/2P2K1P/PP4P1/4b3 w - - 2 29	0.309927
8/pp2k1p1/2p5/5Kp1/3PP3/2P4P/PP4P1/2b5 w - - 6 31	0.290642
5k2/pp4p1/2p5/4P1K1/3b3P/8/P5P1/8 w - - 0 35	0.217018
5k2/pp4p1/2p5/6KP/6P1/8/Pb6/8 w - - 1 37	0.162656
8/pp3kp1/2p5/5KPP/8/8/P7/2b5 w - - 1 39	0.191024
8/p3k1p1/2p3P1/1p2K2P/8/8/P7/2b5 w - - 0 41	0.181794
8/p5p1/3k2P1/1pp4P/8/2K5/P7/2b5 w - - 0 43	0.164222
8/p5p1/3k2P1/2p3bP/p7/2K5/8/8 w - - 0 45	0.136538
rnb1kbnr/pp3ppp/1q2p3/2ppP3/5P2/5N2/PPPP2PP/RNBQKB1R w KQkq - 2 5	0.356999
r3kbnr/pp1b1ppp/1qn1p3/2ppP3/5P2/2PP1N2/PP4PP/RNBQKB1R w KQkq - 1 7	0.329025
r3kb1r/pp1b1ppp/1qn1p3/2ppPn2/5P2/2PP1N2/PP2B1PP/RNBQ1RK1 w kq - 5 9	0.357874
r3kb1r/pp1b1ppp/1qn1p3/2ppP3/5Pn1/2PP1N2/PP2B1KP/RNBQ1R2 w kq - 0 11	0.275053
r4rk1/1p1n1p2/p2p2p1/2pN2q1/2P1P2p/3B3P/PP3P2/R2QRK2 w - - 3 19	0.764617
3Q4/1p3pk1/p1p3b1/2q5/8/P7/1P3PP1/7K w - - 4 33	0.188259
rnbqkb1r/pp2pp1p/2pp1np1/8/3PP3/5N1P/PPP2PP1/RNBQKB1R w KQkq - 1 5	0.375766
1R6/p4r1k/2p1rppB/7p/bPpP4/2P4P/P4PP1/2R3K1 w - - 3 27	0.450356
8/p3r2k/5R2/6p1/1PpP3p/2Pb3P/P4PP1/2r1B1K1 w - - 0 35	0.122308
rnbqkbnr/pp2pppp/8/2p5/5P2/2N5/PPPP2PP/R1BQKBNR w KQkq - 2 5	0.506562
8/1p1k3p/p5p1/2p3P1/P1r2P2/8/1PP5/2K2R2 w - - 0 31	0.511371
8/1p5p/p3k1p1/2p3P1/P3rP2/1P6/1KP5/5R2 w - - 3 33	0.516176
8/1R6/p4rp1/2p3k1/P7/1PK5/2P5/8 w - - 1 39	0.521411
8/8/p5r1/5R2/PP4p1/2K5/2P3k1/8 w - - 6 45	0.521411
8/8/6r1/1P3R2/8/2K3p1/2P3k1/8 w - - 0 47	0.527940
8/8/6r1/1P1R4/1K6/8/2P3p1/7k w - - 0 49	0.469887
8/8/6r1/1P6/1K6/8/2P5/6k1 w - - 0 51	0.384213
8/8/6r1/1PP5/1K6/4k3/8/8 w - - 1 53	0.425888
rnbqkb1r/pp3ppp/4p3/3pPn2/3P1P2/8/PP4PP/RNBQKBNR w KQkq - 1 7	0.645625
r3kb1r/pp3ppp/1qb1p3/3pPn2/3P1P2/5N2/PP4PP/RNBQ1RK1 w kq - 0 11	0.651312
2r2rk1/pp2bppp/2q1p3/3pPn2/NPbP1P2/P4N2/1B3RPP/R2Q2K1 w - - 7 17	0.598318
2r3k1/4bppp/1p6/3pPp2/pP1P1P2/P1r2N2/5RKP/R7 w - - 2 25	0.562225
6k1/4bpp1/1pr5/3pPp1p/pP1P1P1P/P1r2N2/R4RK1/8 w - - 1 27	0.561815
6k1/6p1/1pr2b2/3p1pNp/pP1P1P1P/P1r5/R4RK1/8 w - - 0 29	0.554888
8/6k1/1pr3p1/3pPp1p/pP1P3P/P2r4/R3R1K1/8 w - - 3 33	0.584289
r1b4r/pk1n2pp/1p6/3p4/1P3B2/8/P4PPP/RN2R1K1 w - - 0 21	0.711481
6r1/p6p/Pkb5/3pB3/1P3P2/8/6PP/R5K1 w - - 3 35	0.832296
8/7p/P1b5/2B5/3R1P2/4k3/7r/4K3 w - - 0 45	0.881677
8/7p/P7/2B5/3R1P1r/4kb2/8/2K5 w - - 4 47	0.813456
8/7p/P7/2B1R3/5P1r/5bk1/8/2K5 w - - 12 51	0.745112
8/7R/P2B4/5P2/2r5/5b2/1K2k3/8 w - - 3 57	0.823207
rn2kbnr/ppp1pppp/8/4q3/6b1/2N5/PPPPBPPP/R1BQK1NR w KQkq - 4 5	0.662245
3r3r/1kp2ppp/1p1bp3/1B1n4/P2P4/1R2BK2/5PPP/1R6 w - - 1 25	0.603465
2r1kb1r/3np1p1/pp3p1p/2pn4/3N2b1/3P1NB1/PPP1BPPP/3R1RK1 w k - 0 15	0.684884
r1bq1rk1/1pp2pbp/1n2pnp1/p7/3PP3/2NBBP2/PP2N1PP/R2Q1RK1 w - - 0 11	0.685317
r1bq1rk1/1p1n1pbp/2p1pnp1/p7/3PP3/1PNBBP2/P3N1PP/R2Q1R1K w - - 2 13	0.674460
r1bq1rk1/3n1pbp/2p1pnp1/p7/Pp1PP3/1PNBBP2/3QN1PP/R4R1K w - - 0 15	0.620321
6rk/8/4N2p/p3PQ2/Pp6/1P5P/n5P1/7K w - - 0 43	0.936503
7k/5Q2/7p/p3P3/Pp6/1P5P/6P1/2n4K w - - 3 47	0.941646
6r1/1nk5/8/5R2/p2P1P2/1pP2KP1/1P1B4/8 w - - 4 39	0.806535
6r1/8/1k1n4/2R5/p2P1PP1/1pP2K2/1P1B4/8 w - - 3 41	0.784477
2n5/8/1k6/8/p1PP1PP1/1p3K2/1P1B4/8 w - - 0 43	0.817870
rnbq1rk1/p2pppbp/1p3np1/2pP4/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7	0.375766
